candle_date_time_kst,opening_price,trade_price,high_price,change_rate,market,candle_date_time_utc,prev_closing_price,candle_acc_trade_volume,change_price,low_price,candle_acc_trade_price,timestamp
2025-07-22T09:00:00,4842.00000000,4808.00000000,4878.00000000,-0.0070218918,KRW-XRP,2025-07-22T00:00:00,4842.00000000,204275959.61402812,-34.00000000,4665.00000000,974732100268.46135242,1753228799910,
2025-07-21T09:00:00,4716.00000000,4842.00000000,4935.00000000,0.0267175573,KRW-XRP,2025-07-21T00:00:00,4716.00000000,215721623.16699564,126.00000000,4658.00000000,1041490755632.35867878,1753142399836,
2025-07-20T09:00:00,4691.00000000,4716.00000000,4828.00000000,0.0055437100,KRW-XRP,2025-07-20T00:00:00,4690.00000000,207723648.15877932,26.00000000,4655.00000000,986404430999.36937342,1753055999891,
2025-07-19T09:00:00,4661.00000000,4690.00000000,4769.00000000,0.0060060060,KRW-XRP,2025-07-19T00:00:00,4662.00000000,168848490.07846759,28.00000000,4605.00000000,793050180098.65044869,1752969599855,
2025-07-18T09:00:00,4741.00000000,4662.00000000,4972.00000000,-0.0166631512,KRW-XRP,2025-07-18T00:00:00,4741.00000000,567412036.46211667,-79.00000000,4561.00000000,2707413586115.16741696,1752883199627,
2025-07-17T09:00:00,4125.00000000,4741.00000000,4805.00000000,0.1493333333,KRW-XRP,2025-07-17T00:00:00,4125.00000000,551062939.03863593,616.00000000,4092.00000000,2453724645632.44402073,1752796800018,
2025-07-16T09:00:00,3983.00000000,4125.00000000,4200.00000000,0.0359116022,KRW-XRP,2025-07-16T00:00:00,3982.00000000,217564921.97983855,143.00000000,3938.00000000,886048114633.81887823,1752710400006,
2025-07-15T09:00:00,4040.00000000,3982.00000000,4045.00000000,-0.0150878061,KRW-XRP,2025-07-15T00:00:00,4043.00000000,287400268.88112400,-61.00000000,3827.00000000,1132249405655.87777717,1752623999762,
2025-07-14T09:00:00,3846.00000000,4043.00000000,4099.00000000,0.0512220489,KRW-XRP,2025-07-14T00:00:00,3846.00000000,364109826.53716192,197.00000000,3828.00000000,1457756014620.45674763,1752537599959,
2025-07-13T09:00:00,3722.00000000,3846.00000000,3899.00000000,0.0338709677,KRW-XRP,2025-07-13T00:00:00,3720.00000000,174057701.41999931,126.00000000,3704.00000000,663444902596.81716950,1752451199923,
2025-07-12T09:00:00,3674.00000000,3720.00000000,3850.00000000,0.0125204137,KRW-XRP,2025-07-12T00:00:00,3674.00000000,245562540.65603888,46.00000000,3603.00000000,919665868330.52641802,1752364800029,
2025-07-11T09:00:00,3432.00000000,3674.00000000,3989.00000000,0.0705128205,KRW-XRP,2025-07-11T00:00:00,3432.00000000,513992304.04333287,242.00000000,3383.00000000,1889420207402.23756076,1752278400033,
2025-07-10T09:00:00,3259.00000000,3432.00000000,3450.00000000,0.0530837680,KRW-XRP,2025-07-10T00:00:00,3259.00000000,153371933.36517656,173.00000000,3245.00000000,512523104440.42975340,1752192000020,
